s,x,y,curvature,d_left,d_right
0.2,0.19738,-0.000250938,0,1.30262,1.30262
0.4,0.396402,-0.00102056,0,1.1036,1.1036
0.6,0.599793,-0.00223648,0,0.90021,0.90021
0.8,0.790522,-0.00374121,0,0.709488,0.709488
1,0.993788,-0.00573707,0,0.506244,0.506244
1.2,1.19582,-0.00819985,0,0.30429,0.30429
1.4,1.39136,-0.0109333,0,0.109188,0.109188
1.6,1.59473,-0.0140125,0,0.0957561,0.0957561
1.8,1.78859,-0.017045,0,0.289093,0.289093
2,1.99864,-0.0204598,0,0.499064,0.499064
2.2,2.19922,-0.0238499,0,0.699626,0.699626
2.4,2.38823,-0.0270432,0,0.888641,0.888641
2.6,2.59207,-0.0305781,0,1.0925,1.0925
2.8,2.79772,-0.0341941,0,1.29817,1.29817
3,2.97583,-0.037483,0,1.47631,1.47631
3.2,3.19528,-0.0419529,0,1.6958,1.6958
3.4,3.39483,-0.0462937,0,1.8954,1.8954
3.6,3.58644,-0.0506303,0,2.08705,2.08705
3.8,3.79153,-0.0553276,0,2.2922,2.2922
4,3.99759,-0.0600315,0,2.49831,2.49831
4.2,4.19163,-0.0644437,0,2.6924,2.6924
4.4,4.3859,-0.0687602,0,2.88672,2.88672
4.6,4.59326,-0.0732393,0,3.09413,3.09413
4.8,4.78714,-0.0773871,0,3.28805,3.28805
5,4.99509,-0.0819441,0,3.49605,3.49605
5.2,5.18937,-0.086415,0,3.69038,3.69038
5.4,5.39876,-0.0915143,0,3.89984,3.89984
5.6,5.59398,-0.096575,0,4.09512,4.09512
5.8,5.79006,-0.101967,0,4.29127,4.29127
6,5.98793,-0.107882,0,4.48923,4.48923
6.2,6.19659,-0.114673,0,4.69799,4.69799
6.4,6.39295,-0.121664,0,4.89446,4.89446
6.6,6.58978,-0.129229,0,5.09142,5.09142
6.8,6.78942,-0.137468,0,5.29121,5.29121
7,6.98474,-0.146034,0,5.48668,5.48668
7.2,7.18279,-0.155066,0,5.6849,5.6849
7.4,7.39516,-0.16497,0,5.89747,5.89747
7.6,7.59197,-0.174265,0,6.09447,6.09447
7.8,7.78142,-0.18328,0,6.28409,6.28409
8,7.98527,-0.193054,0,6.48814,6.48814
